NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
Y807-2 BABY WALKER ,BABY ITEMS, $	16.00 , $	29.60 , 	-   , 	3.00 , 	17.00 , 	-   , 	10.00 , 	4.00 , 	-   , 	-   , 	8.00 , 	5.00 , 	6.00 , 	4.00 , 	57.00 ,,
ZF5611 BABY WALKER,BABY ITEMS, $	18.00 , $	33.30 , 	-   , 	5.00 , 	2.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	1.00 , 	10.00 ,,
ZF801 BABY WALKER,BABY ITEMS, $	19.00 , $	35.15 , 	-   , 	-   , 	13.00 , 	-   , 	10.00 , 	2.00 , 	-   , 	10.00 , 	-   , 	-   , 	6.00 , 	4.00 , 	45.00 ,,
ZFK101 CRIB MATRESS (130*70*13CM) ,BABY ITEMS, $	40.00 , $	74.00 , 	10.00 , 	48.00 , 	19.00 , 	20.00 , 	17.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	114.00 ,,
BS1801 (BS1801 BABY TUBE WOVEN BAG PACK),BABY ITEMS, $	8.90 , $	16.47 , 	1.20 , 	-   , 	-   , 	-   , 	-   , 	0.60 , 	-   , 	1.00 , 	6.00 , 	-   , 	1.25 , 	-   , 	10.05 ,,
BS1802 (BS1802 BASKET WOVEN BAG PACK ),BABY ITEMS, $	10.00 , $	18.50 , 	1.20 , 	-   , 	-   , 	-   , 	-   , 	0.60 , 	-   , 	1.00 , 	6.00 , 	-   , 	1.25 , 	-   , 	10.05 ,,
BS1803 (BS1803 /HX-771 BABY WIPES BUCKET ),BABY ITEMS, $	9.00 , $	16.65 , 	0.20 , 	-   , 	-   , 	-   , 	-   , 	0.10 , 	-   , 	0.17 , 	1.00 , 	-   , 	0.21 , 	-   , 	1.68 ,,
BS1804 (BS1804 BUCKET),BABY ITEMS, $	9.00 , $	16.65 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	0.50 , 	-   , 	0.83 , 	5.00 , 	-   , 	1.04 , 	-   , 	8.38 ,,
BS1805 (BS1805 PLASTIC LADLE),BABY ITEMS, $	3.00 , $	5.55 , 	0.50 , 	-   , 	-   , 	-   , 	-   , 	0.25 , 	-   , 	0.42 , 	2.50 , 	-   , 	0.52 , 	-   , 	4.19 ,,
PH435 PLASTIC HANGER  ,HANGER, $	0.90 , $	1.49 , 	(4.00), 	-   , 	5.00 , 	10.00 , 	-   , 	-   , 	10.00 , 	5.00 , 	-   , 	-   , 	5.00 , 	5.00 , 	36.00 ,,
PH547 (PH547 PLASTIC HANGER),HANGER, $	1.09 , $	1.80 , 	(4.00), 	-   , 	4.20 , 	7.00 , 	-   , 	-   , 	5.00 , 	5.00 , 	-   , 	-   , 	-   , 	5.00 , 	22.20 ,,
PH549 (PH549  PLASTIC HANGER),HANGER, $	1.09 , $	1.80 , 	(2.61), 	1.00 , 	4.03 , 	7.00 , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	13.42 ,,
PH551 (PH551 PLASTIC HANGER),HANGER, $	1.09 , $	1.80 , 	(3.35), 	-   , 	4.65 , 	7.00 , 	-   , 	-   , 	10.00 , 	5.00 , 	-   , 	1.00 , 	-   , 	-   , 	24.30 ,,
PH555 (PH555 PLASTIC HANGER),HANGER, $	1.09 , $	1.80 , 	(4.00), 	-   , 	3.99 , 	5.00 , 	1.00 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	7.99 ,,
