NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
12549 (12549 PLASTIC FOOD CONTAINER (96 Pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	5.00 , 	15.00 , 	10.00 , 	1.00 , 	15.00 , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	52.00 ,,
13857 (13857  LUNCH BOX WITH HANDLE 1L (48PCS/CTN)),PLASTIC FOOD CONTAINER, $	3.00 , $	5.70 , 	-   , 	-   , 	1.00 , 	-   , 	2.00 , 	3.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
7873 (7873 PLASTIC FOOD CONTAINER (96PCS)),PLASTIC FOOD CONTAINER, $	5.00 , $	9.50 , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
8681 (8681 PLASTIC FOOD CONTAINER (160 PCS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	16.00 , 	15.00 , 	-   , 	-   , 	32.00 ,,
9851 (9851 FOOD CONTAINER 7PCS0.3L/0.45L/5L(24SETS)),PLASTIC FOOD CONTAINER, $	3.00 , $	5.70 , 	-   , 	-   , 	-   , 	1.00 , 	4.04 , 	-   , 	-   , 	2.00 , 	2.00 , 	2.00 , 	1.00 , 	2.00 , 	14.04 ,,
6601 (6601 GLASS FOOD CONTAINER 590ML(12PCS)),GLASS FOOD CONTAINER, $	11.00 , $	20.90 , 	2.00 , 	2.00 , 	-   , 	-   , 	-   , 	10.00 , 	2.00 , 	2.00 , 	5.00 , 	-   , 	-   , 	-   , 	23.00 ,,
6602 (6602 GLASS FOOD CONTAINER 900ML(8PCS)),GLASS FOOD CONTAINER, $	12.00 , $	22.80 , 	3.00 , 	-   , 	-   , 	5.00 , 	10.00 , 	1.00 , 	2.00 , 	3.00 , 	5.00 , 	-   , 	-   , 	7.00 , 	36.00 ,,
6605 (6605 GLASS FOOD CONTAINER 920ML(8PCSD)),GLASS FOOD CONTAINER, $	16.00 , $	30.40 , 	1.00 , 	2.00 , 	1.00 , 	11.00 , 	8.00 , 	3.00 , 	3.00 , 	5.00 , 	5.00 , 	-   , 	2.00 , 	-   , 	41.00 ,,
6608 (6608 GLASS FOOD CONTAINER 840ML(8PCS)),GLASS FOOD CONTAINER, $	14.00 , $	26.60 , 	(2.00), 	1.00 , 	1.00 , 	2.00 , 	6.00 , 	16.00 , 	3.00 , 	-   , 	7.00 , 	-   , 	-   , 	4.00 , 	38.00 ,,
6611 (6611 GLASS FOOD CONTAINER 450ml (12PCS)),GLASS FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	-   , 	-   , 	3.00 , 	9.00 , 	10.00 , 	-   , 	2.00 , 	5.00 , 	-   , 	1.00 , 	-   , 	31.00 ,,
6612 (6612 GLASS FOOD CONTAINER 920 ml(8PCS)),GLASS FOOD CONTAINER, $	9.00 , $	17.10 , 	2.00 , 	5.00 , 	5.00 , 	-   , 	5.00 , 	6.00 , 	3.00 , 	-   , 	9.00 , 	-   , 	-   , 	3.00 , 	38.00 ,,
6614 (6614 GLASS FOOD CONTAINER 580ML (12PCS)),GLASS FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	1.00 , 	-   , 	-   , 	7.00 , 	-   , 	-   , 	2.00 , 	5.00 , 	-   , 	-   , 	5.00 , 	21.00 ,,
6615 (6615 GLASS FOOD CONTAINER 800ML(8PCS)),GLASS FOOD CONTAINER, $	8.00 , $	15.20 , 	-   , 	1.00 , 	4.00 , 	-   , 	10.00 , 	6.00 , 	-   , 	3.00 , 	5.00 , 	-   , 	-   , 	6.00 , 	35.00 ,,
6623 (6623 GLASS FOOD CONATINER 420ML(12PCS)),GLASS FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	1.00 , 	-   , 	-   , 	8.00 , 	5.00 , 	5.00 , 	2.00 , 	8.00 , 	4.00 , 	2.00 , 	7.00 , 	43.00 ,,
6624 (6624 GLASS FOOD CONTAINER 580ML(12PCS)),GLASS FOOD CONTAINER, $	11.00 , $	20.90 , 	1.00 , 	2.00 , 	2.00 , 	-   , 	5.00 , 	25.00 , 	3.00 , 	6.00 , 	5.00 , 	4.00 , 	-   , 	-   , 	53.00 ,,
6625 (6625 GLASS FOOD CONTAINER 800ML(8PCS/CTN)),GLASS FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	1.00 , 	2.00 , 	2.00 , 	13.00 , 	-   , 	4.00 , 	9.00 , 	2.00 , 	4.00 , 	-   , 	3.00 , 	41.00 ,,
6628 (6628 GLASS FOOD CONTAINER 700ML(8PCS)),GLASS FOOD CONTAINER, $	13.00 , $	24.70 , 	1.00 , 	1.00 , 	-   , 	-   , 	10.00 , 	5.00 , 	4.00 , 	2.00 , 	8.00 , 	-   , 	-   , 	3.00 , 	34.00 ,,
6629 (6629 GLASS FOOD CONATINER 550ML(12PCS)),GLASS FOOD CONTAINER, $	14.00 , $	26.60 , 	1.00 , 	5.00 , 	2.00 , 	4.00 , 	10.00 , 	16.00 , 	-   , 	5.00 , 	2.00 , 	-   , 	-   , 	-   , 	45.00 ,,
8603 (8603 GLASS FOOD CONTAINER -390ml+590ml+900ml(6PCS),GLASS FOOD CONTAINER, $	12.00 , $	22.80 , 	3.00 , 	6.00 , 	2.00 , 	-   , 	13.00 , 	3.00 , 	-   , 	7.00 , 	2.00 , 	-   , 	-   , 	8.00 , 	44.00 ,,
8606 (8606 GLASS FOOD CONTAINER  450ML+920ML (6PCS)),GLASS FOOD CONTAINER, $	14.00 , $	26.60 , 	3.00 , 	2.00 , 	-   , 	6.00 , 	6.00 , 	21.00 , 	-   , 	3.00 , 	5.00 , 	-   , 	-   , 	-   , 	46.00 ,,
8850 (8850 PLASTIC FOOD CONTAINER 600ML(60PCS)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	1.00 , 	-   , 	4.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	6.00 ,,
8851 (8851 PLASTIC FOOD CONTAINER 900ML(48PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	2.00 , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
8852 (8852 PLASTIC FOOD CONTAINER 1.3L(36PCS)),PLASTIC FOOD CONTAINER, $	10.00 , $	19.00 , 	-   , 	2.00 , 	1.00 , 	1.00 , 	1.00 , 	-   , 	5.00 , 	13.00 , 	25.00 , 	-   , 	-   , 	-   , 	48.00 ,,
8860 (8860 PLASTIC FOOD CONTAINER 500ML(60PCS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	-   , 	-   , 	1.00 , 	-   , 	7.00 , 	-   , 	-   , 	13.00 , 	33.00 , 	-   , 	-   , 	-   , 	54.00 ,,
PG1901 (PG1901 LUNCH KIT 2PCS SET WITH BAG(12SETS)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	1.00 ,,
PY3305 (PY3305 / PY3009 FOOD CONTAINER (6SETS/CTN)),PLASTIC FOOD CONTAINER, $	10.00 , $	19.00 , 	2.00 , 	-   , 	-   , 	-   , 	0.17 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.17 ,,
2845 (2845 FOOD CONTAINER (12 Sets)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
932 (932  FOOD CONTAINER  ( 120Pcs/CTN)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	1.00 ,,
939 FOOD STORAGE (939 Food Storage W/cover (120Pcs/CTN)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	22.00 , 	-   , 	-   , 	-   , 	95.00 , 	95.00 , 	5.00 , 	10.00 , 	10.00 , 	20.00 , 	257.00 ,,
BL0021-2 (BL0021-2- FOOD CONTAINER  (24pcs)),PLASTIC FOOD CONTAINER, $	15.00 , $	28.50 , 	-   , 	-   , 	(0.58), 	-   , 	-   , 	-   , 	235.00 , 	83.00 , 	45.00 , 	35.00 , 	5.00 , 	-   , 	402.42 ,,
DK001 (DK001 FOOD STORAGE WITH LID (144PCS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 ,,
FW0001* (FW0001  FOOD CONTAINER  (144 pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	161.00 , 	71.00 , 	231.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	463.00 ,,
FW001*** (FW001 FOOD WARMER  DK001 (144PCS)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	-   , 	56.00 , 	270.00 , 	186.00 , 	118.00 , 	163.00 , 	82.00 , 	35.00 , 	55.00 , 	136.00 ," 	1,101.00 ",,
JC7023 (JC7023  FOOD CONTAINER  (60PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	7.00 , 	-   , 	10.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	17.00 ,,
YD2829 (YD2829  7PCS FOOD STORAGE(30SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	60.00 , 	30.00 , 	25.00 , 	71.00 , 	1.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	190.00 ,,
ZF-1765 (ZF-1765 3PCS CERAMICS BOWL SET(24 SETS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	10.00 , 	4.50 , 	10.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	24.50 ,,
LBP18-HT- (LBP18-HT FOOD WARMER 1.8L (30Pcs/Ctn)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	-   , 	10.10 , 	30.00 , 	10.00 , 	12.00 , 	15.00 , 	40.00 , 	50.00 , 	28.00 , 	15.00 , 	26.00 , 	237.10 ,,
OSCAR 2  (12PCS) (OSCAR 2 (12PCS) A LIQUIDER),PLASTIC FOOD CONTAINER, $	14.00 , $	26.60 , 	-   , 	-   , 	-   , 	-   , 	72.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	72.50 ,,
ORACLE WOODEN PRINT  OMEGA 3 (OMEGA 3 FOOD WARMER ORACLE WOODEN PRINT(6 Sets/Box)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	(0.83), 	-   , 	-   , 	0.83 , 	-   , 	-   , 	-   , 	-   , 	-   , 	275.00 , 	275.00 ,,
OSCAR 2  (12 Pcs) new (OSCAR 2 FOOD WARMER (12 Pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	350.00 , 	105.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	457.00 ,,
OSCAR 2 OLD (OSCAR 2  FOOD WARMER (12 Pcs)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,
OSCAR 3 (OSCAR 3 FOOD WARMER (6 Pcs/ Ctn)),PLASTIC FOOD CONTAINER, $	10.00 , $	19.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	250.00 , 	250.00 ,,
4 pcs Dzire (4 Pcs Dzire  HOT POT SET  FOOD WARMER (4 SETS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.00 , 	10.00 , 	17.00 ,,
STARLINE HOTPOT (STARLINE HOTPOT FOOD WARMER 3PCS (6SETS /CTN)),PLASTIC FOOD CONTAINER, $	8.00 , $	15.20 , 	129.00 , 	5.00 , 	16.00 , 	(66.00), 	10.00 , 	-   , 	-   , 	-   , 	5.00 , 	2.00 , 	5.00 , 	18.00 , 	124.00 ,,
SUPERMAX HOTPOT (SUPERMAX HOTPOT FOOD WARMER 3PCS (6Sets /Ctn)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	114.00 , 	5.00 , 	9.17 , 	(70.00), 	-   , 	-   , 	10.00 , 	3.00 , 	-   , 	-   , 	-   , 	8.00 , 	79.17 ,,
4006 (4006 SQUARE LUNCH BOX(24 pcs)),PLASTIC FOOD CONTAINER, $	8.00 , $	15.20 , 	15.00 , 	-   , 	34.79 , 	60.00 , 	80.00 , 	65.00 , 	15.00 , 	53.00 , 	46.00 , 	31.00 , 	28.00 , 	28.00 , 	455.79 ,,
702A (702A 2 LAYER FOOD WARMER (48 PCS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	(1.54), 	1.00 , 	(0.92), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	28.00 , 	-   , 	26.54 ,,
703A (703A  3 LAYERS FOOD WARMER (36 Pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	(2.00), 	1.00 , 	(0.80), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	25.00 , 	-   , 	23.20 ,,
B8503 (B8503- FOOD WARMER (6SETS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	-   , 	-   , 	-   , 	4.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	-   , 	7.00 ,,
BL0021-1 (BL0021-1 FOOD WARMER (24PCS)),PLASTIC FOOD CONTAINER, $	10.00 , $	19.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	0.96 , 	-   , 	-   , 	-   , 	-   , 	144.00 , 	251.00 , 	396.96 ,,
BL0021-3 (BL0021-3 FOOD WARMER (24PCS)),PLASTIC FOOD CONTAINER, $	8.00 , $	15.20 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	15.00 , 	15.00 ,,
BL0022 (BL0022 FOOD WARMER (24PCS)),PLASTIC FOOD CONTAINER, $	9.00 , $	17.10 , 	10.00 , 	7.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	151.00 , 	168.00 ,,
BL0079 (BL0079 FOOD WARMER (12 SETS of 2PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	16.00 , 	-   , 	-   , 	-   , 	-   , 	59.50 , 	89.00 , 	57.00 , 	55.00 , 	116.00 , 	392.50 ,,
BL0113 (BL0113 FOOD WARMER (24PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	(48.00), 	2.00 , 	(1.00), 	5.00 , 	-   , 	-   , 	20.00 , 	-   , 	-   , 	3.00 , 	5.00 , 	13.00 , 	(1.00),,
BL0363-2.2'' (BL0363-2.2'' FOOD WARMER S.S 2.2L 24PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	(0.70), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	18.70 , 	41.00 , 	59.00 ,,
BL0364-2 (BL0364-2   2.2L FOOD WARMER SS  ( 24Pcs/CTN)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	(4.79), 	-   , 	15.00 , 	10.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	20.21 ,,
BL0364B (BL0364B FOOD WARMER (24Pcs/Box)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	15.00 , 	-   , 	5.00 , 	5.00 , 	-   , 	22.00 , 	76.00 , 	25.00 , 	30.00 , 	10.00 , 	1.00 , 	6.00 , 	195.00 ,,
BL0472-23S (BL0472-23S/ FOOD WARMER ( 24SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	30.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	221.00 , 	63.00 , 	35.00 , 	70.00 , 	102.00 , 	521.00 ,,
BL0495 (BL0495/ 3PCS LUNCH BOX SET (6sets)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	(0.83), 	1.00 , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	1.00 , 	81.00 , 	15.00 , 	100.17 ,,
BL0691-2 (BL0691-2  - 2PCS SET FOOD WARMER/3.0L  (6 PCS)),PLASTIC FOOD CONTAINER, $	14.00 , $	26.60 , 	55.00 , 	5.00 , 	5.00 , 	10.00 , 	-   , 	14.00 , 	25.00 , 	9.00 , 	41.00 , 	50.00 , 	55.00 , 	30.00 , 	299.00 ,,
BL0691-3 (6Pcs) (BL0691-3 - 3 PCS SET FOOD WARMER/4.5L (6PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	10.00 , 	0.17 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	100.00 , 	110.17 ,,
BL0692-2 (B0692-2 -2PCS SET FOOD WARMER/3.0L (6PCS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.00 , 	11.00 , 	45.00 , 	40.00 , 	3.00 , 	104.00 ,,
BL0692-3 (BL0692-3-3PCS SET FOOD WARMER/4.5L),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.00 ,,
BL1204-2 (BL1204-2 FOOD WARMER (24PC)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	20.00 , 	590.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	610.00 ,,
BL1204-3 (BL1204-3 FOOD WARMER(24 PCS)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	251.13 , 	100.00 , 	37.00 , 	2.00 , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	393.13 ,,
BL1204-3W (BL1204-3W FOOD WARMER WITH BAG(24SETS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	3.00 ,,
BL1234 (BL1234/4PCS LUNCH BOX (4SETS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	0.25 , 	-   , 	40.00 , 	55.00 , 	41.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	136.25 ,,
BL1301-1/ BL1307-1 (BL1301-1 FOOD WARMER (18PCS)),PLASTIC FOOD CONTAINER, $	14.00 , $	26.60 , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
BL1301-2 (BL1301-2  2 FOOD WARMER (24 Pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	5.00 ,,
BL1305-2 (BL1305-2 FOOD WARMER (24PC)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	5.00 , 	-   , 	15.00 ,,
BL1305-3 ((BL1305-3) 3 Player LUNCH BOX WITH OPP BAG(16PCS)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	3.67 , 	7.00 , 	-   , 	-   , 	-   , 	(3.00), 	-   , 	-   , 	1.00 , 	-   , 	8.67 ,,
BL1305-4 (BL1305-4 FOOD WARMER  (12 Pc)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	1.17 , 	10.00 , 	-   , 	0.08 , 	-   , 	(10.00), 	-   , 	-   , 	32.00 , 	20.00 , 	53.25 ,,
BL1306 (BL1306 FOOD WARMER  (12 Pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	45.00 , 	50.00 , 	30.00 , 	-   , 	-   , 	(18.00), 	-   , 	-   , 	-   , 	-   , 	107.00 ,,
BL1905 (BL1905 LUNCH BOX (90PCS/CTN)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	(5.00), 	-   , 	-   , 	-   , 	1.00 , 	3.00 , 	-   , 	95.00 , 	0.67 , 	-   , 	-   , 	-   , 	94.67 ,,
BL2716 (BL2716 FOOD WARMER (16PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	4.68 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4.68 ,,
BL3000 (BL3000  FOOD WARMER (24Pcs/ Box)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	288.00 , 	1.25 , 	0.25 , 	-   , 	0.08 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	289.58 ,,
BL4929 (BL4929 8PCS COOLER BOX SET (12 SETS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	16.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	16.00 ,,
FS15 (1.5L FOOD WARMER (24Pcs/Box)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	56.00 , 	33.00 , 	50.00 , 	143.00 ,,
FS19 (1.9L FOOD WARMER (24Pcs/Box)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	22.00 , 	208.00 , 	68.00 , 	18.00 , 	(12.00), 	77.00 , 	383.00 ,,
FU020-3F (FU020-3F FOOD WARMER(16PCS)),PLASTIC FOOD CONTAINER, $	11.00 , $	20.90 , 	1.92 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.92 ,,
FU020-4F (FU020-4F FOOD WARMER(12PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
FW001/ DK001 (FW001 (DK001)FOOD WARNER (144PCS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	-   , 	-   , 	0.50 , 	-   , 	-   , 	-   , 	0.33 , 	-   , 	-   , 	-   , 	-   , 	0.83 ,,
FW0038 (FW0038 FOOD WARMER (36 PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	10.00 , 	11.14 , 	35.00 , 	60.00 , 	95.00 , 	20.00 , 	15.00 , 	15.00 , 	5.00 , 	5.00 , 	-   , 	271.14 ,,
FW110 (FW110 FOOD WARMER  PP LINER 24 PCS),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	11.00 , 	10.00 , 	18.05 , 	35.00 , 	10.00 , 	15.00 , 	124.00 , 	(4.00), 	-   , 	-   , 	-   , 	-   , 	219.05 ,,
FW180 (FW180 FOOD WARMER (48PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	(0.83), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	(0.83),,
FW220 (FW220 2.2L FOOD WARMER (24Pcs)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	2.46 , 	-   , 	(0.88), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	2.59 ,,
HT-LBP18 (HT-LBP18 FOOD WARNER (30PCS/CTN)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	10.00 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	14.00 ,,
KB-681 (KB-681 LUNCH BOX SET (9SETS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	1.00 , 	15.00 , 	21.00 , 	59.33 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	96.33 ,,
KB-683 (KB-683 LUNCH BOX SET (6SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	-   , 	19.00 , 	30.00 , 	47.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	96.00 ,,
VF1015 (VF1015 1.0L FOOD WARMER ( 24PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	44.00 , 	-   , 	20.30 , 	45.00 , 	61.00 , 	20.00 , 	46.00 , 	-   , 	28.00 , 	35.00 , 	20.00 , 	3.00 , 	322.30 ,,
VF1800 (24PCS) (VF1800 (24PCS) 2LAYERS  FOOD WARMER (24PCS/CTN)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	-   , 	10.00 , 	14.25 , 	52.00 , 	25.00 , 	5.00 , 	-   , 	7.00 , 	2.00 , 	-   , 	2.00 , 	-   , 	117.25 ,,
VF1800(48)PCS (VF1800/48PCS LAYERS FOOD WARMER (48PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	13.00 , 	-   , 	-   , 	-   , 	-   , 	13.00 ,,
VF1816 (VF1816 FOOD WARMER (24SETS)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	15.00 , 	2.00 , 	(0.17), 	15.00 , 	-   , 	7.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	38.83 ,,
VF1854 (VF1854 FOOD WARMER (18PCS)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	10.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	232.00 , 	242.00 ,,
ZF8030-1B (ZF8030-1B COOLER BOX SET (8SET)),PLASTIC FOOD CONTAINER, $	12.00 , $	22.80 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	-   , 	174.00 , 	40.00 , 	217.00 ,,
6552 (S/S Lunch Box (36Pcs/Ctn)),PLASTIC FOOD CONTAINER, $	13.00 , $	24.70 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 ,,
